,Date,User,Text
693,December 2015,qbrozen,"I always wonder how/when they decide to flag a charge. Like you said, here you made a charge in the Bahamas with not one eyebrow raised. Electronics in NJ just before the holidays seems perfectly reasonable, on the other hand, yet they put a stop to it.
'17 F150 Crew 2.7; '67 Coronet R/T; '14 Town&Country Limited; '09 LR2 HSE. 44-car history and counting!"
694,December 2015,suydam,"Nowadays if the charge is a large number they often text or email before it goes though. My last two Apple purchases I got a text asking me to verify it was really me making the purchase.
'14 Buick Encore Convenience
'17 Chevy Volt Premiere"
695,December 2015,abacomike,"
Scary about GG's experience.  My Identity was stolen 8 years ago.  Was lucky it was just a cable TV connection in Tallahassie.  Then, someone tried to open a black AMEX card with my name.  They denied it because I had a fraud alert on the credit reporting companies.

I check my credit cards and bank accounts twice a day to check on every charge or withdrawal to pay bills.  You just can't be too careful these days.
2018 Mercedes S450"
696,December 2015,stickguy,"I have the card we use for all online purchases set to email me any time a charge of $20 hits it. Just in case.

Plus that is one kids have at school, so good way to keep an eye on them! And what the wife is buying online.

I also always pay cash at restaurants. I hate handing them a card. Same at gas stations. Gas co. CC Or cash, with rare exceptions (when traveling)
2018 Hyundai Elantra Sport (mine), and 2013 Acura RDX AWD (wife's)"
697,December 2015,qbrozen,"To be honest, I think we are pretty careless about protecting our credit cards and identities. Almost everything goes on our Amex each month and I rarely keep an eye on it.
'17 F150 Crew 2.7; '67 Coronet R/T; '14 Town&Country Limited; '09 LR2 HSE. 44-car history and counting!"
698,December 2015,isellhondas,"






Sounds like a great buy, and it is only about 50 minutes from here. Special Canadian discount is nice since our money has sunk to 70 cents per US dollar.

I like the style of those cars too....

It has 88k miles and almost new tires so they were probably replaced at 80k for the second time.

How much commission if I consummate the deal?


Why would anyone ruin the looks of that car by installing those gaudy chrome mouldings around the wheel openings? Anyway, Merry Christmas to all of you and may 2016 bring all of us good health and joy!"
699,December 2015,isellhondas,"Mr_Shiftright said:
Shifty Sez:

Happy Holidays to Everyone and Their Families!





The same back at you! Appreciate your vast vault of automotive knowledge throughout the years!"
700,December 2015,graphicguy,"isellhondas said:
show previous quotes















Why would anyone ruin the looks of that car by installing those gaudy chrome mouldings around the wheel openings? Anyway, Merry Christmas to all of you and may 2016 bring all of us good health and joy!
I'm guessing those moldings were put on there by the ""SENIOR"" owner. About the time those cars were on the roads was about the time when those types of moldings were popular.

I actually like that car. If I had a place to store it, I'd make a run at it and use it as a summer grocery getter, to use when the weather's nice.
2018 Acura TLX SH AWD ASpec"
701,December 2015,imidazol97,"Gas pump skimmers have shown up in SW Ohio where graphicguy and I live. News stories alledge Cubans roaming the area.

We notified two credit cards that my son used when he traveled for training in recent months to be sure he didnt get blocked. One of his cards had automatically been blocked when he tried to make a purchase when he was finishing his degree at OSU. He switched to the other card to pay. I had used my card on that account to make a purchase at Wal-Mart and Kroger and he used his to make a purchase at Kroger near campus. Blocked.

Their algorithms determining if purchases are not typical have become really sophisticated.


2015 Cruze 2LT, 2014 Malibu 2LT, 2008 Cobalt 2LT"
702,December 2015,venture,"ab348 said:
My experience with Win 10 continues to be rocky. Yesterday the machine said that the printer attached to it was ""offline"" and Win 10 offered no way to set it back to online. I could still print remotely via WiFi from my other laptop that it isn't connected to. I tried to reconnect it by going into Win 10 and removing the printer - it said it was doing it but never finished. I then went to the Canon website and downloaded the latest drivers - which were the same as it already said it had. Eventually I just shut the thing down. When it restarted, it finally saw the printer and let me install it again. The whole process only took an hour of my day.

But wait, there's more! Today Outlook locked up completely. I have it all kinds of time - actually went out and came back to find the little wheel still spinning and ""Not Responding"" up at the top of the screen. I had to physically power it down with the power switch and then restart it. After about 10 minutes of gyrations it finally came back to life.

This is an Intel i5 processor, 8 gigs of memory. I remain very wary of Win 10.
I had a problem with my printers after going to Windows 10. I went to the web sites and downloaded drivers compatible with Windows 10 and they started working again. Other than that pretty smooth sailing so far. This desktop is a Dell XPS 8300 and it has plenty of horsepower.

What happened to Windows 9?
2018 Legacy 3.6R, 2015 Crosstrek, 2015 Forester"
703,December 2015,graphicguy,"qbrozen said:
To be honest, I think we are pretty careless about protecting our credit cards and identities. Almost everything goes on our Amex each month and I rarely keep an eye on it.
Q.....I use my AMEX mostly for business travel. My company pays the $500 yearly fee for it, but I'm responsible for all charges on it. I file expense reports to cover my business charges.

It has lots of perks that I like....I can use travle lounges at airports. I get immeidate upgreades with Hyatt (or is it Hilton?). I rack up lots of points. They pay for my TSA and Global precheck fees. On and on.....

I give my bill a quick glance, and if nothing looks out of line, I'm good. I'll have to start giving it more scrutiny.
2018 Acura TLX SH AWD ASpec"
704,December 2015,venture,"isellhondas said:
show previous quotes















Why would anyone ruin the looks of that car by installing those gaudy chrome mouldings around the wheel openings? Anyway, Merry Christmas to all of you and may 2016 bring all of us good health and joy!
Maybe they are covering up the rust.
2018 Legacy 3.6R, 2015 Crosstrek, 2015 Forester"
705,December 2015,PF_Flyer,"Road trips abound this week. Been going out on recruiting visits to high school games with my daughter who coaches at Juniata College. We were in fog most of the way last night for a 200 mile round tripper. I think we have one on Christmas Eve too. Ooo... look at the pretty lights!


Edmunds Moderator

Need some roadside assistance? pf_flyer@edmunds.com - or send a private message by clicking on my name.

Just purchased or leased a vehicle? Share your vehicle reviews

PF_Flyer's 2014 Versa Note Long Term Blog
How To Start Your Own Long Term Blog"
706,December 2015,abacomike,"venture said:
show previous quotes




I had a problem with my printers after going to Windows 10. I went to the web sites and downloaded drivers compatible with Windows 10 and they started working again. Other than that pretty smooth sailing so far. This desktop is a Dell XPS 8300 and it has plenty of horsepower.

What happened to Windows 9?
What do you think Windows 10 is? Windows 9 in disguise!
2018 Mercedes S450"
707,December 2015,carnaught,"Actually CC fraud is the easiest to reverse, and the most cc companies do not hold you responsible for over $50 in fraudulent charges. AMEX is especially good at protecting you. I am more concerned about i.d. theft to a bank account, or especially getting one's personal info. like your SS number. They can set up a line a credit, and buy under your name.

My sister had an envelope, with her payment by check to her utility company, opened, the check was washed and forged to the perpetrator. She just happened to go to her bank acct. site, and see a copy of this check within a day. Calling the bank about it, they credited the few hundred bucks back to her. The perp., however, got away with it (happened in S. Fl.), but at least she recovered her funds."
708,December 2015,henryn,"“most cc companies do not hold you responsible for over $50 in fraudulent charges.”

Federal law limits your maximum loss from credit card fraud / theft to $50.

Search for FCBA (Fair Credit Billing Act).

The liability for a debit card is a little more complex. If you report the loss within 2 days, the limit is $50. More than 2 days, less than 60 days, $500. The problem with the debit card is that it can take days / weeks / months for the bank or other financial institution to replace the missing funds.

I prefer to use a debit card, but I use my Amex much more often because I have better protection and less to lose.

The reason I prefer to use the debit card might seem silly to some, but it’s real to me. If I pay cash (debit), the expenditure is done and over with. If I use the Amex card, then when the bill comes in and I have to write the check, it’s like I’m spending the money a second time.

If I spend several hundred dollars on some new toy, I don’t want the pain of paying for it to happen twice.
2018 Ford F150 XLT Crew Cab, 2016 Chrysler Town & Country Touring"
709,December 2015,stickguy,"I tell my kids to never use the debit card. For some reason they both started to use it everywhere, basically replacing cash.
2018 Hyundai Elantra Sport (mine), and 2013 Acura RDX AWD (wife's)"
710,December 2015,stever,"I have one for a local account that usually has under $1,000 in it. Occasionally use it but don't really trust it and I refuse to get one for the main bank account. Don't like carrying cash either, so it's the credit card that gets the most use. That gets paid electronically but I don't use automatic withdrawal for anything."
711,December 2015,isellhondas,"venture said:
show previous quotes




I had a problem with my printers after going to Windows 10. I went to the web sites and downloaded drivers compatible with Windows 10 and they started working again. Other than that pretty smooth sailing so far. This desktop is a Dell XPS 8300 and it has plenty of horsepower.

What happened to Windows 9?
I fought Windows 10 for several days as did my VERY computer savvy cousin. We were SO happy that we were able to switch back to Win 7. Never a problem EVER with Win 7.

Other people have made the switch with no problems."
712,December 2015,berri,"My philosophy is if you want a new operating system, buy a new device with it installed. Too many potential driver, software, etc. conflicts when you upgrade that can take up a bunch of time resolving."
713,December 2015,driver100,"


Henryn, I am with you on inheritance......I hope to spend every last dime and leave my kids with a few bills.

About TVs. Most people spend a lot of time and get good entertainment value out of their TVs. That TV will probably last you 10 years (will probably go for 20 but you will want a newer model by 10 years) so that is less than 10 a month for hours of entertainment value.

About the system being broken. I have to delete so much of previous messages and then try to quote what I want quoted....I should be paid for all the work I do around here.
2017 MB E400 , 2015 MB GLK350, 2014 MB C250"
714,December 2015,stickguy,"My kids got plenty out of me growing up and putting them through college (side note, son just paid off his last student loan, in just 2 years. Proud of him!)

When I'm old, I expect them to support me, not other way around!
2018 Hyundai Elantra Sport (mine), and 2013 Acura RDX AWD (wife's)"
715,December 2015,Mr_Shiftright,"For centuries, that was the reason to HAVE kids. They would help you in old age. Now, as we live under the mantle of Freud or Dr. Phil, we seem to have developed this perverse idea that we have to keep helping them from the grave. Natch, if they were truly struggling in life, then of course. And sure, I'd rather leave everything to my heirs rather than the State of California---LOL!

MODERATOR --Need help with anything? Click on my name!
Share Your Vehicle Reviews Here"
716,December 2015,berri,Its just as likely the medical world and nursing homes will grab most of it...
717,December 2015,Mr_Shiftright,"I have plans to insure that never happens.
MODERATOR --Need help with anything? Click on my name!
Share Your Vehicle Reviews Here"
718,December 2015,Mr_Shiftright,"Shifty Sez:

Happy Holidays to Everyone and Their Families!





MODERATOR --Need help with anything? Click on my name!
Share Your Vehicle Reviews Here"
719,December 2015,abacomike,"Mr_Shiftright said:
For centuries, that was the reason to HAVE kids. They would help you in old age. Now, as we live under the mantle of Freud or Dr. Phil, we seem to have developed this perverse idea that we have to keep helping them from the grave. Natch, if they were truly struggling in life, then of course. And sure, I'd rather leave everything to my heirs rather than the State of California---LOL!

Here in Florida, we are very lucky - no inheritance taxes and no income taxes. I also have a $25,000 homestead exemption for the property taxes on my condo (permanent residents get that exemption after a certain length of time and then you have to apply for it). My property taxes are just under $700 a year - more than reasonable.

The only things I have to worry about regarding inheritance is personal and real property (Condo, furniture/contents and Car), and that is covered in my will. Everything else is POD which is how I have all my accounts listed. So the State and Federal Governments don't get a thing (my estate is much too small to be affected by Federal Estate Taxes).

Now that I have some real health problems, I want to make sure everything is in order, if you know what I mean.
2018 Mercedes S450"
720,December 2015,abacomike,"berri said:
Its just as likely the medical world and nursing homes will grab most of it...
That is quite possible - especially in my case. I just hope that if it is my time, it happens quickly and cheaply. I would hate to think that hundreds of thousands of dollars end up going to doctors, nursing homes and/or care providers. That would be a true pity!
2018 Mercedes S450"
721,December 2015,suydam,"I have to say that the staff at the nursing home that took care of my Dad the last 5 years of his life were wonderfully competent and caring. And they didn't get much out of it because he was a Medicaid patient. I could not do their jobs and be as patient and kind.
'14 Buick Encore Convenience
'17 Chevy Volt Premiere"
722,December 2015,graphicguy,"roadburner said:
show previous quotes
I still prefer Blue Jeans Cable for inteconnects and cables.
RB...I think we've had this conversation before. I like BlueJean cables for interconnects. I like Monoprice cables, too.

But, for lightning cords, bluetooth mice, keyboards, etc, I love Amazon Basics, too. High quality, cheap price, quick deliver.
2018 Acura TLX SH AWD ASpec"
723,December 2015,oldfarmer50,"Re: Driver100's comment on Canadian driver in Cuba.


Sounds like a shake down which many third world countries are famous for.
2015 Mustang GT, 2009 PT Cruiser, 2004 Chevy Van, 2000 Chrysler Sebring convertible"
724,December 2015,fezo,"My Amazon cors would always slip out of my iPod or phone. Not good on the road when you discover that you think it's been charging but was loose.

Having an off day today.

Well, it looks like there's going to be about a $2,000 difference between what insurance wants to pay and what fixing the car right will cost. One way or another I'll squeeze it together. I'd been thinking I'd just pocket the insurance check and pounce on the next one that comes along but right now I want to fix it.
2013 Mazda 5 Grand Touring, 2010 Toyota Prius IV. 2007 Toyota Camry XLE, 2004 Toyota Camry LE, 1999 Mazda Miata"
725,December 2015,fezo,"OK, ignore previous car statement. Now I don't understand this but the insurance company is ready to cut me a check for more than what the body shop is ready to fix it for. Why they would not just pay the guy and save themselves some money I don't know but I'll take it.

I told the body shop to go ahead and fix it. They do terrific work. Have it back the first week in January and throw the cover on it until March or April or, if the weather continues like it has, drop the top and drive about.

Insurance came in at more than I paid for the car. There's a nice one up in Connecticut with fewer miles and is the Special Edition (6 speed as opposed to five) and is in better condition but I'm not going to worry about that. Bad time of year to play that.

So this day has turned around nicely. I still need a nap.
2013 Mazda 5 Grand Touring, 2010 Toyota Prius IV. 2007 Toyota Camry XLE, 2004 Toyota Camry LE, 1999 Mazda Miata"
726,December 2015,suydam,"Nice to hear it worked out. Insurance fixes and cars are such a hassle.
'14 Buick Encore Convenience
'17 Chevy Volt Premiere"
727,December 2015,abacomike,"
You and I both need a nap!!!  
2018 Mercedes S450"
728,December 2015,ab348,"I'm a Monoprice man myself...
2017 Cadillac ATS Performance Premium 3.6, 1968 Oldsmobile Cutlass S Holiday Coupe"
729,December 2015,imidazol97,"fezo said:
OK, ignore previous car statement. Now I don't understand this but the insurance company is ready to cut me a check for more than what the body shop is ready to fix it for. Why they would not just pay the guy and save themselves some money I don't know but I'll take it..
Sound like the insurance company actually expects overruns on the repair costs if the insurance company is paying. They'd rather just give you a little more and not be responsible for those extra cost items that get discovered at the shop.



2015 Cruze 2LT, 2014 Malibu 2LT, 2008 Cobalt 2LT"
730,December 2015,oldfarmer50,"Hey driver100. Run over to Plant City and pick up this little gem for me. He's giving Canadians a discount.


http://tampa.craigslist.org/hil/ctd/5371269296.html

I'll pick it up when my wife throws me out for buying another car and I come to sleep on your couch.
2015 Mustang GT, 2009 PT Cruiser, 2004 Chevy Van, 2000 Chrysler Sebring convertible"
731,December 2015,nyccarguy,"@fezo - where in CT?
2001 Prelude Type SH, 2015 Infiniti Q40 AWD, 2017 Honda Pilot Touring AWD"
732,December 2015,abacomike,"It's now been almost 4 months since I upgraded to Windows 10 from Windows 7.  I still have had no problems, whatsoever, with the operating system.  My HP PC is running 3 times faster than it did using Win 7.  I am also using their new browser which is also lightning fast.  

I I know that some of you have had problems with Win 10.  I wonder if it has something to do with RAM quantity and processor speed.  I have 12 gigs of RAM and the first generation I7 Intel processor operating at 3.33 MHz.  I have heard that updating to Win 10 from Win 8 has unique issues.

I've read here that many of you are happy with Win 10.  Just thought I would update my experiences with Win 10.
2018 Mercedes S450"
733,December 2015,stever,"Good to hear. My desktop's E5200 cpu dates back to 2008, mildly overclocked, with 8 gigs of ram. Runs Win10 fine, and I upgraded from Win8.1. My old ""garage"" ThinkPad was having trouble upgrading but the latest update earlier this week may have fixed the return from sleep issue I was having. I'm using Edge on that one, but mostly for listening to net radio in the garage.

Happy Solstice y'all - always nice to see the days getting longer."
734,December 2015,stickguy,"Farmer, I like that Lebaron too. Though digital dash gives me pause. I always thought that body style was exceptionally good looking, and one of the best ever to come out of Detroit.

Mike, so far, 10 on my laptop been fine so far. And this is a pretty cheap Lenovo that doesn't have much ram or anything fancy for a processor. I went straight from 7.

when I get a chance, going to do my 5 or so YO desktop (also sitting on 7 still).

I'm skipping 8 entirely!
2018 Hyundai Elantra Sport (mine), and 2013 Acura RDX AWD (wife's)"
735,December 2015,driver100,"oldfarmer50 said:
Hey driver100. Run over to Plant City and pick up this little gem for me. He's giving Canadians a discount.


http://tampa.craigslist.org/hil/ctd/5371269296.html

I'll pick it up when my wife throws me out for buying another car and I come to sleep on your couch.
Sounds like a great buy, and it is only about 50 minutes from here. Special Canadian discount is nice since our money has sunk to 70 cents per US dollar.

I like the style of those cars too....

It has 88k miles and almost new tires so they were probably replaced at 80k for the second time.

How much commission if I consummate the deal?


2017 MB E400 , 2015 MB GLK350, 2014 MB C250"
736,December 2015,houdini1,"abacomike said:
show previous quotes


Here in Florida, we are very lucky - no inheritance taxes and no income taxes. I also have a $25,000 homestead exemption for the property taxes on my condo (permanent residents get that exemption after a certain length of time and then you have to apply for it). My property taxes are just under $700 a year - more than reasonable.

The only things I have to worry about regarding inheritance is personal and real property (Condo, furniture/contents and Car), and that is covered in my will. Everything else is POD which is how I have all my accounts listed. So the State and Federal Governments don't get a thing (my estate is much too small to be affected by Federal Estate Taxes).

Now that I have some real health problems, I want to make sure everything is in order, if you know what I mean.
Dang, I'm moving to Florida. Just paid our 2015 property tax, $8,006.
2013 LX 570 2016 LS 460"
737,December 2015,abacomike,"@houdini1 said:

""Dang, I'm moving to Florida. Just paid our 2015 property tax, $8,006.""

Remember, my Condo is a 2 bedroom, 2 bathroom apartment with a large living room and dining room and a large kitchen with dinette area and a large terrace - but it is still an apartment.  I also pay $5800 a year to the Condo association for grounds and building maintenance and security.  So it isn't as cheap as you think to live here.

Then, periodically, there are special assessments for streets and roads, building roof replacement, etc.  this is by no means a ""SHANGRI-LA""!

But having no inheritance taxes and no State income taxes is a blessing!  
2018 Mercedes S450"
738,December 2015,houdini1,"That is true. Each state gets you one way or the other. Some just more than others. The biggest cost, for me, to live in
Florida would be the heat, humidity, and bugs !
2013 LX 570 2016 LS 460"
739,December 2015,qbrozen,"Property taxes in our homes are $17k for our primary and $9k in the rental. I also pay pretty steep state income tax, plus 7% sales tax, plus real estate transfer tax, plus, plus, plus. 
'17 F150 Crew 2.7; '67 Coronet R/T; '14 Town&Country Limited; '09 LR2 HSE. 44-car history and counting!"
740,December 2015,driver100,"houdini1 said:
That is true. Each state gets you one way or the other. Some just more than others. The biggest cost, for me, to live in
Florida would be the heat, humidity, and bugs !
Well, you would have to compare:

Negatives of Moving to Kansas City

Weather – Located on the plains, Kansas City can get hit hard by wind and cold weather, though temperatures stay more moderate than further-north cities, like Chicago and Minneapolis. Summers can see extremely hot and humid temperatures.

Tornadoes – Kansas City is located in the middle of Tornado Alley, making its tornado-prone status worthy of its own “bad weather” section. The metro was hit hard by tornadoes in 1957 and 2003.

2017 MB E400 , 2015 MB GLK350, 2014 MB C250"
741,December 2015,oldfarmer50,"






Sounds like a great buy, and it is only about 50 minutes from here. Special Canadian discount is nice since our money has sunk to 70 cents per US dollar.

I like the style of those cars too....

It has 88k miles and almost new tires so they were probably replaced at 80k for the second time.

How much commission if I consummate the deal?


I'll bring coffee when I arrive.

2015 Mustang GT, 2009 PT Cruiser, 2004 Chevy Van, 2000 Chrysler Sebring convertible"
742,December 2015,oldfarmer50,"My wife baked some Christmas cookies today. She's been making them as long as I can remember. Brought back memories of cars gone by particularly Chryslers which I was a big fan of 40 years ago. Like the 74 Charger she traded her Camaro for on my recommendation. Beautiful car. Looked like this color combo just 5 years newer.



Wish Chrysler made something like that today.
2015 Mustang GT, 2009 PT Cruiser, 2004 Chevy Van, 2000 Chrysler Sebring convertible"
743,December 2015,bwia,"








Good thing they don't sue in Dominican Republic as quickly as they do in the USA. I bet if you hit that guy in the US he would be on the phone calling 1-800- GARY or one of the other lawyers who are advertised on TV all day long. If you are in an accident call....so and so right now. One guy claims to take your call 24 hours a day, probably takes the call while on the throne.

Then there is a lawyer who will help you no matter what kind of record you have or how many crimes you have committed. I think his motto is you're not guilty until they find you guilty.

When gas is $5 a gallon, and take home pay is much less than we are used to, people tend not to buy Mustang GTs and Hellcats....or even Grande Marquis.

"
744,December 2015,abacomike,"
When they nail you for hit and run, tell us when visiting hours are at the prison - always wanted an excuse to visit Dominica!  
2018 Mercedes S450"
745,December 2015,fezo,"I figure it will be a day or two before they tell me if they want to total the Miata. If they do I'll try to get it fixed anyway but may have to start up a Gofundme account. Anyone in? Keep you posted as to events.

This is one of those killers because I'm sure the not stopping in time (not by much) was part of the brain fog from the complications of the transplant. I've taken to leaving ridiculously long space behind the guy in front of me until I'm sure I'm all back. Meanwhile before next summer comes along I'll get drilled discs and ceramic pads. Likely I'll do the same on the 5. Brakes are the weak spot. I have a friend who does the work and the parts really aren't expensive. He says through the source he gets them from they are cheaper buying the set than buying standard rotor and pads separately. And the stop on a dime.

Meanwhile, I get a call from Sloan Kettering and my T cells are still a little low but that's the last hurdle. They tested ho I reacted to the one vaccine they gave me and I aced that so They'll treat me like a pincushion on 1/5 when I'm up there. Polio (couldn't I have the Sabin vaccine on the sugar cube?), hep A and B and another couple and I'll be good to go. Should finally be able to be back in the water this summer.

Oh, and it hit 58 degrees here at the Jersey shore. My kind of December.
2013 Mazda 5 Grand Touring, 2010 Toyota Prius IV. 2007 Toyota Camry XLE, 2004 Toyota Camry LE, 1999 Mazda Miata"
746,December 2015,abacomike,"
Sure sounds like you are biting at the bit, so to speak, which I find refreshing and exciting.  You are making long term plans now which is a departure from your posts of a year or so ago.  I'm proud of you fez!  
2018 Mercedes S450"
747,December 2015,abacomike,"Just turned over 400 miles on the CLS400's odometer - and the car is 4 weeks old today.  I went up to the Boca Mall and stopped into Apple to get a new USB 6 foot cable to charge my phone.  The 2 foot cable is starting to fray a little which is a problem with the Apple cables.  They last about a year.

The mall was empty at 9:15 this morning.
2018 Mercedes S450"
748,December 2015,driver100,"=


Great, once again I learned something here today. I have heard of people going to Guadaloupe, Martinique, St Lucia, Barbados (been there myself), Grenada but not Dominica so I assumed that was probably the capital of DR. I'm glad I learned that and I refreshed my memory of that area of the world.



A short time ago a Canadian was in a minor accident in Cuba. He was in prison for 3 months and legal costs were $30000.

Briefly:

Canadian tourists should think twice before getting behind the wheel during trips in Mexico, China, Guatemala and Cuba, the Foreign Affairs Department warns.

“Canadians involved in traffic accidents may face serious legal problems, including imprisonment,” the department website says.

The caution comes as 19-year-old Cody LeCompte prepares to leave Cuba after being detained since April 29. He is expected to return Tuesday to a welcoming party planned by family and friends.

LeCompte, of Norfolk County, was detained by Cuban authorities after the rental car he was driving collided with a truck on a pockmarked road near rural Camaguey, sending himself, his mother, uncle and a female Cuban friend to hospital.

LeCompte was never charged in the crash, but was forced to stay at the Gran Club Santa Lucia in Cuba until the investigation was completed. The family must now deal with a crushing debt of $30,000 that it spent on lawyers, flights and hotel rooms.

“It doesn’t feel real,” LeCompte said from his hotel room in Cuba. “I can’t believe I’ve been here for three months for a car accident.”

Similar sad fates could await tourists bold enough to rent vehicles in Mexico, China and Guatemala. Foreign affairs warns Canadians involved in traffic accidents shouldn’t expect to be treated like they are innocent until proven guilty.

Sometimes we forget many countries have very different laws.
2017 MB E400 , 2015 MB GLK350, 2014 MB C250"
749,December 2015,abacomike,"Stopped in at Costco for gas today.  RUG was 1.91.9 per gallon and PUG was 2.34.9 per gallon.  Those are the lowest prices I can remember in the last 10 years.

Demand for crude oil has dropped significantly and the Saudi's, Iranians and Emirate States are continuing to flood the oil market.  I read in the paper that OPEC is out to force decreased production in the U.S. and once that is accomplished, will cut their own production.  But countries like Russia, Iran, Venezuela, Mexico and Iraq depend so heavily on oil exports for their economies that they can't afford to cut production - in fact they are increasing production as well to maintain their fragile economies.

If I was asked 3 years ago if oil would get to $35 a barrel, in my wildest dreams I would still have to say, ""...those days are over...!""  Boy was I wrong!  
2018 Mercedes S450"
750,December 2015,fezo,"And thankfully so. RUG at Costco here dropped to $1.75.9.
2013 Mazda 5 Grand Touring, 2010 Toyota Prius IV. 2007 Toyota Camry XLE, 2004 Toyota Camry LE, 1999 Mazda Miata"
751,December 2015,isellhondas,"Wow, you DIDN'T drive it much at all! I think you did just fine!"
752,December 2015,abacomike,"
We have higher taxes down here.  Add to that the fact that gasoline is shipped in from the refineries by large barges and sea-going tankers to Port Everglades just north of Ft. Lauderdale at a higher cost since we don't have pipelines (can't bury them because you hit water only 10-25 feet below the surface throughout south Florida).  But comparatively speaking, it's been a long time since I bought gasoline at this price.
2018 Mercedes S450"
753,December 2015,isellhondas,"oldfarmer50 said:
show previous quotes


You know, I'm pretty sure that I saw that film in Driver's Ed when I was 16.

I'm almost ashamed to admit it but the class favorite was the bloody crash film that hoped to scare you into being careful. You know the one with the pre-airbag steering column impailments and headless drivers.

I think that movie we all watched was Red Ashphalt and it WAS pretty gory.

Did anyone notice how that '63 Impala turned into a ""62 when it was on the tow truck?"
754,December 2015,stickguy,"at the 76 station over the weekend RUG was at $1.67.9
2018 Hyundai Elantra Sport (mine), and 2013 Acura RDX AWD (wife's)"
755,December 2015,ab348,"isellhondas said:

Did anyone notice how that '63 Impala turned into a ""62 when it was on the tow truck?
Yeah, I did happen to catch that.

I was waiting for the big wreck and it never happened!
2017 Cadillac ATS Performance Premium 3.6, 1968 Oldsmobile Cutlass S Holiday Coupe"
756,December 2015,sda,"abacomike said:
Just turned over 400 miles on the CLS400's odometer - and the car is 4 weeks old today.  I went up to the Boca Mall and stopped into Apple to get a new USB 6 foot cable to charge my phone.  The 2 foot cable is starting to fray a little which is a problem with the Apple cables.  They last about a year.

The mall was empty at 9:15 this morning.

Glad to learn that you are out and about!
2010 Pilot EXL-RES, 2013 Accord EX"
757,December 2015,abacomike,"
I think I'm overdoing it a bit.  Went food shopping today as well and had to stop at doctor's office for blood pressure tests.  Then I did two washes today.  I'm having some palpitations and get out of breath quickly.  Tomorrow, if I'm up to it, I have to run over to my bank and have them fax paperwork to US Bank for direct withdrawals from my checking account to make monthly payments on my new auto loan (324.52 a month).  Then home to rest for the day.

Have the cleaning ladies here Wednesday afternoon - house really needs a cleaning and straightening up in kitchen, my bedroom, my bathroom and hallways and foyer.  I don't go into the master bedroom suite, so they just have to dust there and in the livingroom and dining room and vacuum in carpeted areas.  I have them come every 2 weeks but missed last time because I had the heart attack.

I have to slow down a little.
2018 Mercedes S450"
758,December 2015,stickguy,"Just a curious question, but at this point, why not move into the master bedroom since you are there alone?
2018 Hyundai Elantra Sport (mine), and 2013 Acura RDX AWD (wife's)"
759,December 2015,abacomike,"
It's way in the back of the condo unit and I would have difficulty hearing the door bell, etc.  This way, I am closer to the kitchen and the washer/dryer combo.  My room is set up for HD cable, the back bedroom is not and I don't want to give Comcast a nickel - I already pay $125 a month.  I have my PC on a computer table in the back bedroom with the WiFi router.  I have more room back there.

When I get around to it, if ever, I'd like to buy a leather couch/loveseat/chair/ottoman set for the livingroom and a 60-70 inch HDTV and high end sound system.  I really don't want to spend the money - I'd rather leave my money for my kids who both need it.  The condo is worth about $125,000 and is free and clear.

I just like my bedroom - just large enough for me and in the front of the condo.
2018 Mercedes S450"
760,December 2015,stickguy,"makes sense. I would have thought a master bath and bigger closet would be more attractive. But can't beat location!
2018 Hyundai Elantra Sport (mine), and 2013 Acura RDX AWD (wife's)"
761,December 2015,abacomike,"
I have a large closet in my bedroom - I only use 1/2 of it.  I use the master bedroom walk-in closet for storing things like the vacuum, tools, folding chairs and table, art work, extra carpeting, snack tables, etc.  there is also another large closet like the one in my room which is empty and a large linen closet.  I also have a terrace that is the width of the living room.  I keep the fold-up shutters closed so I don't have to worry about rain and wind.  I open the sliding doors for cross ventilation - the shutters have tiny holes in them to allow air to flow in and out and I have jallosy windows in the front door that I open in cooler weather.  The condo ventilation comes from the northeast and southwest - excellent ventilation in cooler weather.
2018 Mercedes S450"
762,December 2015,js06gv,"Paid 1.64 for RUG at Costco today in the Dallas area.
2016 Kia Optima SX, 2015 Ford Mustang GT, 2013 Ford F-150 King Ranch, 2000 Pontiac Trans Am WS6, 2001 Kawasaki Vulcan 800 Classic"
763,December 2015,verdugo,"


Similar sad fates could await tourists bold enough to rent vehicles in Mexico, China and Guatemala. Foreign affairs warns Canadians involved in traffic accidents shouldn’t expect to be treated like they are innocent until proven guilty.

Sometimes we forget many countries have very different laws.
That wouldn't happen in Mexico. Sad, but true that they just have to pay a fine on the spot, i.e., a bribe and be on their way."
764,December 2015,verdugo,"abacomike said:

;Tomorrow, if I'm up to it, I have to run over to my bank and have them fax paperwork to US Bank for direct withdrawals from my checking account to make monthly payments on my new auto loan (324.52 a month).
Can't you set up car payment from your online banking account? Any halfway decent bank or credit union should let you do that online. If you don't know how, call their tech support number.

It might be a pain, but you'll save yourself having to go to the bank."
